Emirate ,Main Area,Sub Area,Area known locally 
Abu Dhabi,City ,Mussafah Industrial Area M20,tourish club area
Abu Dhabi,City ,Mussafah Industrial Area M21,meera time residance
Abu Dhabi,Western region,Mussafah Industrial Area M22,Al Dharfrah
Abu Dhabi,Western region,Mussafah Industrial Area M23,Al Gharbia
Abu Dhabi,Western region,Mussafah Industrial Area M24,Asab
Abu Dhabi,Western region,Mussafah Industrial Area M25,Bida Zayed
Abu Dhabi,Western region,Mussafah Industrial Area M26,Bu Hasa
Abu Dhabi,Western region,Mussafah Industrial Area M27,Habshan
Abu Dhabi,Western region,Mussafah Industrial Area M28,Hamim
Abu Dhabi,Western region,Mussafah Industrial Area M29,Liwa Western Region
Abu Dhabi,Western region,Mussafah Industrial Area M3,Madinat Zayed (Western Region)
Abu Dhabi,Western region,Mussafah Industrial Area M30,Salam City
Abu Dhabi,Western region,Mussafah Industrial Area M31,shah
Abu Dhabi,Outer City Area,Mussafah Industrial Area M32,Ajban Farms
Abu Dhabi,Outer City Area,Mussafah Industrial Area M33,Al Bahia
Abu Dhabi,Outer City Area,Mussafah Industrial Area M34,Al Falah City
Abu Dhabi,Outer City Area,Mussafah Industrial Area M35,Al Rahba
Abu Dhabi,Outer City Area,Mussafah Industrial Area M36,Al Reef
Abu Dhabi,Outer City Area,Mussafah Industrial Area M37,Al Samha
Abu Dhabi,Outer City Area,Mussafah Industrial Area M38,Al Shahama
Abu Dhabi,Outer City Area,Mussafah Industrial Area M39,Al Shahama Old
Abu Dhabi,Outer City Area,Mussafah Industrial Area M4,Al Shaleela
Abu Dhabi,Outer City Area,Mussafah Industrial Area M40,Rawadat Al Reef
Abu Dhabi,Outer City Area,Mussafah Industrial Area M41,Zayed Military City
Abu Dhabi,Outer City Area,Mussafah Industrial Area M42,Al Mafraq 
Abu Dhabi,Outer City Area,Mussafah Industrial Area M43,Al Nahda East
Abu Dhabi,Outer City Area,Mussafah Industrial Area M44,Al Nahda West
Abu Dhabi,Outer City Area,Mussafah Industrial Area M45,Al Wathba 
Abu Dhabi,Outer City Area,Mussafah Industrial Area M46,Baniyas 
Abu Dhabi,Outer City Area,Mussafah Industrial Area M5,Bawabat Al Sharq
Abu Dhabi,Outer City Area,Mussafah Industrial Area M6,Mafraq Workers City
Abu Dhabi,Outer City Area,Mussafah Industrial Area M7,New Al Nahda
Abu Dhabi,Outer City Area,Mussafah Industrial Area M8,Al Faya
Abu Dhabi,Outer City Area,Mussafah Industrial Area M9,Al Khateem
Abu Dhabi,City ,Mussafah Shabiya,Abu Dhabi Gate City
Abu Dhabi,City ,Najda street,Al Maqta
Abu Dhabi,City ,Port Zayed,Al Muntazah
Abu Dhabi,City ,Qasr Al Bahr,Al Mushrif
Abu Dhabi,City ,Saadiyat Island,Al Muzoon
Abu Dhabi,City ,Salam street,Al Qurm
Abu Dhabi,City ,Sas Al Nakhl,Al Seef/ ministry's complex
Abu Dhabi,City ,Southern Marina Village,Grand Mosque District
Abu Dhabi,City ,Tourist Club Area,Hadabat Al Zaafaran
Abu Dhabi,City ,Yas Island East,Mangrove Village
Abu Dhabi,City ,Yas Island West,Adnec
Abu Dhabi,City ,Yas Marina,al saada st
Abu Dhabi,City ,Ajban Farms,bain el jesrin
Abu Dhabi,City ,Al Adla,Khaleej al arabi
Abu Dhabi,City ,Al Bahia,mangrove village
Abu Dhabi,City ,Al Bandar,muroor st
Abu Dhabi,City ,Al Falah City,mushref
Abu Dhabi,City ,Al Haffar,offciers city
Abu Dhabi,City ,Al Mafraq Industrial Area,Al Maryah Island
Abu Dhabi,City ,Al Nahda East,Al Mina
Abu Dhabi,City ,Al Nahda West,Al Reem Island
Abu Dhabi,City ,Al Rahba,Port Zayed
Abu Dhabi,City ,Al Reef,al reem island
Abu Dhabi,City ,Al Samha,al sadiyat island
Abu Dhabi,City ,Al Shahama,mina stores
Abu Dhabi,City ,Al Shahama Old,mina zayed
Abu Dhabi,City ,Al Shaleela,old adia building
Abu Dhabi,City ,Al Shamkha East,Saadiyat Island
Abu Dhabi,Western region,Al Shamkha South,Abu Al Abyad Island
Abu Dhabi,Western region,Al Shawamekh,Al dabiya
Abu Dhabi,Western region,Al Wathba North,Al Hamra
Abu Dhabi,Western region,Al Wathba South,Al Marfa
Abu Dhabi,Western region,Baniyas East,Al Mirfa
Abu Dhabi,Western region,Baniyas West,Bada al mutawa
Abu Dhabi,Western region,Bawabat Al Sharq,Baraka Nuclear Project
Abu Dhabi,Western region,Ghantoot,Baynuona
Abu Dhabi,Western region,Khalifa City B,Dalma Island
Abu Dhabi,Western region,Mafraq Workers City,Ghayati
Abu Dhabi,Western region,Motor World,Jebel Dhanna
Abu Dhabi,Western region,New Al Nahda,Rumaitha
Abu Dhabi,Western region,Rawadat Al Reef,Ruwais
Abu Dhabi,Western region,Shakhbout City,Sir Baniyas Jett feery
Abu Dhabi,Western region,Zayed City,Tarif
Abu Dhabi,Industrial Area,Zayed Military City,Mussafah Industrial Area M1
Abu Dhabi,Industrial Area,Al Faya,Mussafah Industrial Area M10
Abu Dhabi,Industrial Area,Al Khateem,Mussafah Industrial Area M11
Abu Dhabi,Industrial Area,Al Faya,Mussafah Industrial Area M12
Abu Dhabi,Industrial Area,Al Khateem,Mussafah Industrial Area M13
Abu Dhabi,Industrial Area,Ghayati,Mussafah Industrial Area M14
Abu Dhabi,Industrial Area,Hamim,Mussafah Industrial Area M15
Abu Dhabi,Industrial Area,Liwa Western Region,Mussafah Industrial Area M16
Abu Dhabi,Industrial Area,Salam City,Mussafah Industrial Area M17
Abu Dhabi,Industrial Area,shah,Mussafah Industrial Area M18
Abu Dhabi,Industrial Area,Asab,Mussafah Industrial Area M19
Abu Dhabi,Industrial Area,Bada al mutawa,Mussafah Industrial Area M2
Abu Dhabi,Industrial Area,Baynuona,Mussafah Industrial Area M20
Abu Dhabi,Industrial Area,Al Dharfrah,Mussafah Industrial Area M21
Abu Dhabi,Industrial Area,Al Gharbia,Mussafah Industrial Area M22
Abu Dhabi,Industrial Area,Al Hamra,Mussafah Industrial Area M23
Abu Dhabi,Industrial Area,Bida Zayed,Mussafah Industrial Area M24
Abu Dhabi,Industrial Area,Dalma Island,Mussafah Industrial Area M25
Abu Dhabi,Industrial Area,Jebel Dhanna,Mussafah Industrial Area M26
Abu Dhabi,Industrial Area,Madinat Zayed (Western Region),Mussafah Industrial Area M27
Abu Dhabi,Industrial Area,Ruwais,Mussafah Industrial Area M28
Abu Dhabi,Industrial Area,Baraka Nuclear Project,Mussafah Industrial Area M29
Abu Dhabi,Industrial Area,Sir Baniyas Jett feery,Mussafah Industrial Area M3
Abu Dhabi,Industrial Area,Abu Al Abyad Island,Mussafah Industrial Area M30
Abu Dhabi,Industrial Area,Al Marfa,Mussafah Industrial Area M31
Abu Dhabi,Industrial Area,Al Mirfa,Mussafah Industrial Area M32
Abu Dhabi,Industrial Area,Bu Hasa,Mussafah Industrial Area M33
Abu Dhabi,Industrial Area,Habshan,Mussafah Industrial Area M34
Abu Dhabi,Industrial Area,Tarif,Mussafah Industrial Area M35
Abu Dhabi,Industrial Area,Al dabiya,Mussafah Industrial Area M36
Abu Dhabi,Industrial Area,Rumaitha,Mussafah Industrial Area M37
Abu Dhabi,Industrial Area,Gheweifat,Mussafah Industrial Area M38
Abu Dhabi,Industrial Area,Jananah Island,Mussafah Industrial Area M39
Abu Dhabi,Industrial Area,Sila,Mussafah Industrial Area M4
Abu Dhabi,Industrial Area,Al Kifefah,Mussafah Industrial Area M40
Abu Dhabi,Industrial Area,Al Lissaily,Mussafah Industrial Area M41
Abu Dhabi,Industrial Area,Al Mania,Mussafah Industrial Area M42
Abu Dhabi,Industrial Area,Al Me'rad,Mussafah Industrial Area M43
Abu Dhabi,Industrial Area,Al Muzoon,Mussafah Industrial Area M44
Abu Dhabi,Industrial Area,Al Razeen,Mussafah Industrial Area M45
Abu Dhabi,Industrial Area,Al Rumaila,Mussafah Industrial Area M46
Abu Dhabi,Industrial Area,Al Shuwaib,Mussafah Industrial Area M5
Abu Dhabi,Industrial Area,Al Thurayya,Mussafah Industrial Area M6
Abu Dhabi,Industrial Area,Bu Ghar,Mussafah Industrial Area M7
Abu Dhabi,Industrial Area,Other,Mussafah Industrial Area M8
Abu Dhabi,Industrial Area,Qareen Al Aish,Mussafah Industrial Area M9
Abu Dhabi,Industrial Area,Qutuf,Mussafah 
Abu Dhabi,Industrial Area,Ras Ghurb Island,ICAD 1
Abu Dhabi,Industrial Area,Umm Al Ashtan,ICAD 2
Abu Dhabi,Industrial Area,Industrial Area,ICAD 3
Abu Dhabi,Outer City Area,Outer City Area,Al Bandar
Abu Dhabi,Outer City Area,Outer City Area,Al Forsan Village
Abu Dhabi,Outer City Area,Outer City Area,Al Ghazal Golf Club
Abu Dhabi,Outer City Area,Outer City Area,Al Raha 
Abu Dhabi,Outer City Area,Outer City Area,Al Zeina
Abu Dhabi,Outer City Area,Outer City Area,Khalifa City A
Abu Dhabi,Outer City Area,Outer City Area,Masdar City
Abu Dhabi,Outer City Area,Outer City Area,Sas Al Nakhl
Abu Dhabi,Outer City Area,Outer City Area,Yas Island East
Abu Dhabi,Outer City Area,Outer City Area,Yas Island West
Abu Dhabi,Outer City Area,Outer City Area,Yas Marina
Abu Dhabi,Outer City Area,Outer City Area,Khor Al-Raha
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 1
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 2
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 3
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 4
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 5
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 6
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 7
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 8
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 9
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 10
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 11
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 12
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 13
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 14
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 15
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 16
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 17
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 18
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 19
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 20
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 21
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 22
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 23
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 24
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 25
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 26
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 27
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 28
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 29
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 30
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 31
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 32
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 33
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 34
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 35
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 36
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 37
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 38
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 39
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,zone 40
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,Mazyad village 
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,Star Village
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,Shabia 9
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,Shabia 10
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,Shabia 11
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,Shabia 12
Abu Dhabi,Muhammed Bin Zayed City,Muhammed Bin Zayed City,Mahawi
Ajman,City ,City ,"RASHIDIYA 1,2,3"
Ajman,City ,City ,"ALNUMIYA 1,2,3"
Ajman,City ,City ,BUSTAN
Ajman,City ,City ,KARAMA
Ajman,City ,City ,MUSHERIF
Ajman,City ,City ,AL SAWAN
Ajman,City ,City ,CORNICHE ROAD
Ajman,City ,City ,NAKHEEL
Ajman,City ,City ,Ajman FREEZONE
Ajman,City ,City ,INDUSTRIAL AREAS
Ajman,City ,City ,"AL JURF 1,2,3"
Ajman,City ,City ,MOWAIHAT
Ajman,City ,City ,AL RAWDA
Ajman,City ,City ,CHINA MALL
Ajman,City ,City ,"HAMIDIYA 1,2"
Ajman,City ,City ,AL ZAHRA
Ajman,City ,City ,EMIRATES CITY
Ajman,City ,City ,"AL, NAUIMIYA"
Al Ain,Remote,Nahel - Remote,Al Ain
Al Ain,Remote,Al Khatim - Remote,Al Ain
Al Ain,Remote,Al Khaznah - Remote,Al Ain
Al Ain,Remote,Al Maqam,Al Ain
Al Ain,Remote,Asherj,Al Ain
Al Ain,Remote,Dhaharat Al Teeb - Remote,Al Ain
Al Ain,City,Al Mutawa'a,Al Ain
Al Ain,City,Central District,Al Ain
Al Ain,City,"Al Andulus Compound, Al Ain Mall",Al Ain
Al Ain,Remote,Khatm-Al-Shikla,Al Ain
Al Ain,Remote,jabel Hafeet,Al Ain
Al Ain,City,Al Shaaibah,Al Ain
Al Ain,City,Al Qisais,Al Ain
Al Ain,City,Zakher,Al Ain
Al Ain,City,Sha'ab Al Ashkher,Al Ain
Al Ain,City,Al Aqabiya,Al Ain
Al Ain,City,Falaj Hazzaa Muroor,Al Ain
Al Ain,Inndustrial City,Al Ain Industrial Area - Falaj Hazzaa Mnaizlah,Al Ain
Al Ain,Remote,Al Waqan - Remote,Al Ain
Al Ain,Remote,Al Qua - Remote,Al Ain
Al Ain,Remote,Al dahra - Remote,Al Ain
Al Ain,Remote,Al Kazna,Al Ain
Al Ain,City,Al Masoudi,Al Ain
Al Ain,City,Hai Khalid,Al Ain
Al Ain,City,Al Ain International Airport,Al Ain
Al Ain,City,Al Towayya,Al Ain
Al Ain,City,Al Jahili,Al Ain
Al Ain,City,Gharebah,Al Ain
Al Ain,City,Al Khabisi,Al Ain
Al Ain,City,Al Jimi,Al Ain
Al Ain,City,Al Muwaiji,Al Ain
Al Ain,City,Al Muwaiji - Majlood,Al Ain
Al Ain,City,Al Muwaiji - Al Ruwaikah,Al Ain
Al Ain,City,Al Mutaredh,Al Ain
Al Ain,City,Shareat Al Muwaiji,Al Ain
Al Ain,City,Al Mutaredh Oasis,Al Ain
Al Ain,City,Al Dharmaa,Al Ain
Al Ain,City,Al Ain Hospital,Al Ain
Al Ain,Inndustrial City,"Al Ain Industrial Area - Sanaiya, Saniya",Al Ain
Al Ain,City,Al Sarooj-New,Al Ain
Al Ain,City,Defence,Al Ain
Al Ain,City,Al Sarooj-Old,Al Ain
Al Ain,City,Al Khrair,Al Ain
Al Ain,City,Ummghafa,Al Ain
Al Ain,City,Al Dhahir,Al Ain
Al Ain,Outer,Al Foaa,Al Ain
Al Ain,City,Al Mnaizfah,Al Ain
Al Ain,City,Al hayer,Al Ain
Al Ain,Outer,Al Ain outer City 2,Al Ain
Al Ain,Outer,Al Ain outer city 3,Al Ain
Al Ain,Remote,Al Qattara,Al Ain
Al Ain,City,Al Hili,Al Ain
Al Ain,Remote,Al Sweihan- Remote,Al Ain
Al Ain,City,Al Salamat,Al Ain
Al Ain,City,Al Yahar North,Al Ain
Al Ain,City,Al Yahar South,Al Ain
Al Ain,City,Al Salamat District,Al Ain
Al Ain,City,Al Bateen - Al Ain,Al Ain
Al Ain,City,Al Markhaniya,Al Ain
Al Ain,City,Al Ain outer City,Al Ain
Al Ain,Remote,Al Ain Outer 1 - Remote,Al Ain
Al Ain,Remote,Al Ain Outer 2 - Remote,Al Ain
Al Ain,Remote,Al Ain outer 3 - Remote,Al Ain
Dubai,Al Qusais,Al Nahda 1,Al Qusais
Dubai,Al Qusais,Al Nahda 2,Al Qusais
Dubai,Al Qusais,Al Qusais 1,Al Qusais
Dubai,Al Qusais,Al Qusais 2,Al Qusais
Dubai,Al Qusais,Al Qusais 3,Al Qusais
Dubai,Al Qusais,Al Qusais Industrial 1,Al Qusais
Dubai,Al Qusais,Al Qusais Industrial 2,Al Qusais
Dubai,Al Qusais,Al Qusais Industrial 3,Al Qusais
Dubai,Al Qusais,DAFZA - Dubai Airport Freezone,Al Qusais
Dubai,Al Barsha,Jumeirah Village Circle,JVC
Dubai,Spring/Medows,Barsha Heights (TECOM),Spring/Medows
Dubai,Spring/Medows,Emirates Hill 1,Spring/Medows
Dubai,Spring/Medows,Emirates Hill 2,Spring/Medows
Dubai,Spring/Medows,Emirates Hill 3,Spring/Medows
Dubai,Spring/Medows,Emirates Hill 4,Spring/Medows
Dubai,Spring/Medows,Jumeirah Heights,Spring/Medows
Dubai,Spring/Medows,Jumeirah Islands,Spring/Medows
Dubai,Spring/Medows,Jumeirah Park,Spring/Medows
Dubai,Spring/Medows,Jumeirah Village Triangle (JVT),Spring/Medows
Dubai,Spring/Medows,The Greens,Spring/Medows
Dubai,Deira,Hor Al Anz East,Deira
Dubai,Deira,Abu Hail,Deira
Dubai,Deira,Al Hamriya,Deira
Dubai,Deira,Deira,Deira
Dubai,Deira,Deira Corniche,Deira
Dubai,Deira,Palm Deira,Deira
Dubai,Deira,Al Mamzar,Deira
Dubai,Al Barsha,Al Baraha,Al Barsha
Dubai,Deira,Al Hamriya Port,Deira
Dubai,Mirdif,Mirdif,Mirdif
Dubai,Mirdif,Al Mizhar 2,Mirdif
Dubai,Mirdif,Al Mizhar 1,Mirdif
Dubai,Mirdif,Mushrif,Mirdif
Dubai,Mirdif,Al Khwaneej 1,Mirdif
Dubai,Mirdif,Al Khwaneej 2,Mirdif
Dubai,Mirdif,Al Warqaa 1,Mirdif
Dubai,Mirdif,Al Warqaa 2,Mirdif
Dubai,Mirdif,Al Warqaa 3,Mirdif
Dubai,Mirdif,Al Warqaa 4,Mirdif
Dubai,Mirdif,Al Warqaa 5,Mirdif
Dubai,Mirdif,Uptown Mirdif,Mirdif
Dubai,Mirdif,Wadi Alamardi,Mirdif
Dubai,Outer,Al Awir 2,Outer
Dubai,Outer,Al Awir 2,Outer
Dubai,Jumairah,Al Bada,Satwa
Dubai,Karama,Al Jafiliya,Satwa
Dubai,Satwa,Dubai Maritime City,Satwa
Dubai,Satwa,Al Satwa,Satwa
Dubai,DIC/DMC,Palm Jumeira,DIC/DMC
Dubai,DIC/DMC,Al Safouh 1,DIC/DMC
Dubai,DIC/DMC,Al Safouh 2,DIC/DMC
Dubai,DIC/DMC,Dubai Internet City,DIC/DMC
Dubai,DIC/DMC,Dubai Knowledge Village,DIC/DMC
Dubai,DIC/DMC,Dubai Marina (Marsa Dubai),DIC/DMC
Dubai,DIC/DMC,Dubai Media City,DIC/DMC
Dubai,DIC/DMC,JBR - Jumeirah Beach Residency,DIC/DMC
Dubai,Bussinus Bay,Dubai Mall,Bussinus Bay
Dubai,Business Bay,Downtown Burj Dubai,Business Bay
Dubai,Bussinus Bay,Mohammed Bin Rashid Gardens,Bussinus Bay
Dubai,Zabeel,Zaabeel 2,Zabeel
Dubai,Zabeel,Zaabeel 1,Zabeel
Dubai,Business Bay,Business Bay,Business Bay
Dubai,SZR,DIFC - Dubai International Financial Center,SZR
Dubai,SZR,Trade Centre,SZR
Dubai,Jumairah,Umm Al Sheif,Jumairah
Dubai,Jumairah,Jumeirah 3,Jumairah
Dubai,Jumairah,Jumeirah 2,Jumairah
Dubai,Jumairah,Umm Suqeim 3,Jumairah
Dubai,Jumairah,Umm Suqeim 2,Jumairah
Dubai,Jumairah,Umm Suqeim 1,Jumairah
Dubai,Jumairah,Al Manara,Jumairah
Dubai,Jumairah,Jumeirah 1,Jumairah
Dubai,Jumairah,Al Wasl,Jumairah
Dubai,Jumairah,Al Safa 2,Jumairah
Dubai,Jumairah,Al Safa 1,Jumairah
Dubai,Discovery Gardens,Discovery Gardens,Discovery Gardens
Dubai,Discovery Gardens,The Gardens,Discovery Gardens
Dubai,JLT,JLT - Jumeirah Lakes Towers,JLT
Dubai,Deira,Al Buteen,Deira
Dubai,Deira,Al Muraqqabat,Deira
Dubai,Deira,Port Saeed,Deira
Dubai,Deira,Rigga Al Buteen,Deira
Dubai,Deira,Al Muteena,Deira
Dubai,Deira,Al Rigga,Deira
Dubai,Ras Al Khor Industrial,Ras Al Khor,Ras Al Khor Industrial
Dubai,Ras Al Khor Industrial,Bu Kadra,Ras Al Khor Industrial
Dubai,Ras Al Khor Industrial,Ras Al Khor Industrial 1,Ras Al Khor Industrial
Dubai,Ras Al Khor Industrial,Ras Al Khor Industrial 2,Ras Al Khor Industrial
Dubai,Ras Al Khor Industrial,Ras Al Khor Industrial 3,Ras Al Khor Industrial
Dubai,Ras Al Khor Industrial,The Lagoons,Ras Al Khor Industrial
Dubai,Deira,Hor Al Anz,Deira
Dubai,Deira,Al Waheda,Deira
Dubai,Nad Ashiba,Nadd Al Shiba 3,Nad Ashiba
Dubai,Nad Ashiba,Nadd Al Shiba 2,Nad Ashiba
Dubai,Nad Ashiba,Nadd Al Shiba 1,Nad Ashiba
Dubai,Mohammed Bin Zayed RD,Al Bararri,Mohammed Bin Zayed RD
Dubai,Mohammed Bin Zayed RD,Arabian Ranches,Mohammed Bin Zayed RD
Dubai,Mohammed Bin Zayed RD,Dubai Lifestyle City,Mohammed Bin Zayed RD
Dubai,Mohammed Bin Zayed RD,Dubai Motor City,Mohammed Bin Zayed RD
Dubai,Mohammed Bin Zayed RD,Dubai Production City,Mohammed Bin Zayed RD
Dubai,Mohammed Bin Zayed RD,Dubai Sports City (DSC),Mohammed Bin Zayed RD
Dubai,Mohammed Bin Zayed RD,Dubai Studio City,Mohammed Bin Zayed RD
Dubai,Mohammed Bin Zayed RD,IMPZ - International Media Production Zone,Mohammed Bin Zayed RD
Dubai,Nad Ashiba,Al Merkad,Nad Ashiba
Dubai,Nad Ashiba,Dubai Land,Nad Ashiba
Dubai,Nad Ashiba,Liwan,Nad Ashiba
Dubai,Deira,Naif,Deira
Dubai,Deira,Al Sabkha,Deira
Dubai,Deira,Al Murar,Deira
Dubai,Deira,Ayal Nasir,Deira
Dubai,Deira,Al Ras,Deira
Dubai,Al Quoz ,Al Quoz 3,Al Quoz 
Dubai,Al Quoz ,Al Quoz 2,Al Quoz 
Dubai,Al Quoz ,Al Quoz 1,Al Quoz 
Dubai,Bur Dubai,Al Dhagaya,Bur Dubai
Dubai,Bur Dubai,Al Ghubaiba,Bur Dubai
